"Station Name","ROUYN-NORANDA A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","48.21"
"Longitude","-78.84"
"Elevation","301.10"
"Climate Identifier","7086719"
"WMO Identifier",""
"TC Identifier","YUY"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp","Temp Flag","Dew Point Temp","Dew Point Temp Flag","Rel Hum","Rel Hum Flag","Wind Dir","Wind Dir Flag","Wind Spd","Wind Spd Flag","Visibility","Visibility Flag","Stn Press","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","20.4","","18.3","","88","","24","","14","","24.1","","96.87","","27","","","","NA"
"2018-06-01 01:00","2018","06","01","01:00","20.1","","18.0","","87","","27","","10","","24.1","","96.94","","26","","","","Cloudy"
"2018-06-01 02:00","2018","06","01","02:00","12.4","","11.7","","96","","32","","22","","6.4","","97.15","","","","","","Rain,Fog"
"2018-06-01 03:00","2018","06","01","03:00","9.5","","9.0","","96","","35","","17","","12.9","","97.21","","","","","","Drizzle"
"2018-06-01 04:00","2018","06","01","04:00","7.6","","6.8","","95","","34","","22","","24.1","","97.35","","","","","","Cloudy"
"2018-06-01 05:00","2018","06","01","05:00","6.6","","5.3","","92","","34","","17","","24.1","","97.46","","","","","","Drizzle"
"2018-06-01 06:00","2018","06","01","06:00","5.8","","4.4","","90","","36","","18","","24.1","","97.58","","","","","","NA"
"2018-06-01 07:00","2018","06","01","07:00","4.7","","3.2","","90","","1","","26","","8.1","","97.70","","","","","","Drizzle,Fog"
"2018-06-01 08:00","2018","06","01","08:00","4.5","","3.6","","94","","36","","19","","3.2","","97.78","","","","","","Drizzle,Fog"
"2018-06-01 09:00","2018","06","01","09:00","4.0","","3.3","","95","","2","","16","","4.0","","97.89","","","","","","Drizzle,Fog"
"2018-06-01 10:00","2018","06","01","10:00","4.3","","3.5","","95","","35","","18","","4.0","","97.97","","","","","","Drizzle,Fog"
"2018-06-01 11:00","2018","06","01","11:00","5.0","","3.2","","88","","2","","25","","12.9","","98.01","","","","","","NA"
"2018-06-01 12:00","2018","06","01","12:00","5.0","","3.6","","91","","35","","18","","16.1","","98.08","","","","","","NA"
"2018-06-01 13:00","2018","06","01","13:00","5.6","","3.1","","84","","1","","17","","16.1","","98.12","","","","","","Cloudy"
"2018-06-01 14:00","2018","06","01","14:00","5.2","","3.2","","87","","1","","23","","24.1","","98.17","","","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","6.0","","4.3","","89","","1","","24","","24.1","","98.21","","","","","","Rain Showers"
"2018-06-01 16:00","2018","06","01","16:00","6.5","","4.0","","84","","1","","25","","24.1","","98.26","","","","","","Cloudy"
"2018-06-01 17:00","2018","06","01","17:00","6.6","","4.0","","84","","2","","23","","24.1","","98.28","","","","","","NA"
"2018-06-01 18:00","2018","06","01","18:00","6.9","","3.8","","80","","1","","22","","24.1","","98.39","","","","","","NA"
"2018-06-01 19:00","2018","06","01","19:00","6.5","","3.6","","81","","1","","21","","24.1","","98.42","","","","","","Mostly Cloudy"
"2018-06-01 20:00","2018","06","01","20:00","6.1","","2.5","","78","","2","","22","","24.1","","98.48","","","","","","NA"
"2018-06-01 21:00","2018","06","01","21:00","5.0","","2.3","","83","","2","","10","","24.1","","98.53","","","","","","NA"
"2018-06-01 22:00","2018","06","01","22:00","4.1","","2.1","","87","","36","","9","","24.1","","98.56","","","","","","Clear"
"2018-06-01 23:00","2018","06","01","23:00","3.5","","1.0","","83","","36","","14","","24.1","","98.60","","","","","","NA"
"2018-06-02 00:00","2018","06","02","00:00","2.5","","0.5","","86","","1","","16","","24.1","","98.62","","","","","","NA"
"2018-06-02 01:00","2018","06","02","01:00","1.7","","0.1","","89","","1","","16","","24.1","","98.62","","","","","","Clear"
"2018-06-02 02:00","2018","06","02","02:00","1.0","","-0.4","","90","","1","","14","","24.1","","98.65","","","","","","NA"
"2018-06-02 03:00","2018","06","02","03:00","0.2","","-0.9","","92","","2","","12","","24.1","","98.65","","","","","","NA"
"2018-06-02 04:00","2018","06","02","04:00","-0.1","","-1.2","","92","","2","","14","","24.1","","98.70","","","","-4","","Mainly Clear"
"2018-06-02 05:00","2018","06","02","05:00","-0.1","","-1.2","","92","","1","","12","","24.1","","98.78","","","","-4","","NA"
"2018-06-02 06:00","2018","06","02","06:00","1.6","","-0.7","","84","","3","","12","","24.1","","98.84","","","","","","NA"
"2018-06-02 07:00","2018","06","02","07:00","3.3","","-0.5","","76","","4","","21","","24.1","","98.86","","","","","","Mainly Clear"
"2018-06-02 08:00","2018","06","02","08:00","5.6","","0.1","","67","","2","","18","","24.1","","98.83","","","","","","NA"
"2018-06-02 09:00","2018","06","02","09:00","8.0","","-1.4","","51","","2","","20","","24.1","","98.75","","","","","","NA"
"2018-06-02 10:00","2018","06","02","10:00","10.4","","-2.3","","41","","3","","18","","24.1","","98.74","","","","","","Clear"
"2018-06-02 11:00","2018","06","02","11:00","12.6","","-2.7","","34","","4","","25","","24.1","","98.76","","","","","","NA"
"2018-06-02 12:00","2018","06","02","12:00","14.8","","-1.5","","32","","3","","15","","24.1","","98.73","","","","","","NA"
"2018-06-02 13:00","2018","06","02","13:00","16.0","","-2.4","","28","","5","","20","","24.1","","98.64","","","","","","Clear"
"2018-06-02 14:00","2018","06","02","14:00","17.7","","-2.3","","25","","3","","22","","24.1","","98.58","","","","","","NA"
"2018-06-02 15:00","2018","06","02","15:00","18.6","","-3.2","","23","","7","","25","","24.1","","98.51","","","","","","NA"
"2018-06-02 16:00","2018","06","02","16:00","18.9","","-1.9","","24","","5","","23","","24.1","","98.48","","","","","","Mainly Clear"
"2018-06-02 17:00","2018","06","02","17:00","18.6","","-1.5","","25","","5","","22","","24.1","","98.41","","","","","","NA"
"2018-06-02 18:00","2018","06","02","18:00","18.5","","-1.2","","26","","7","","22","","24.1","","98.38","","","","","","NA"
"2018-06-02 19:00","2018","06","02","19:00","17.3","","-2.1","","26","","6","","20","","24.1","","98.33","","","","","","Mainly Clear"
"2018-06-02 20:00","2018","06","02","20:00","14.3","","-0.9","","35","","5","","9","","24.1","","98.31","","","","","","NA"
"2018-06-02 21:00","2018","06","02","21:00","10.5","","0.9","","51","","5","","8","","24.1","","98.30","","","","","","NA"
"2018-06-02 22:00","2018","06","02","22:00","6.5","","0.4","","65","","36","","2","","24.1","","98.32","","","","","","Mainly Clear"
"2018-06-02 23:00","2018","06","02","23:00","5.1","","2.0","","80","","1","","3","","24.1","","98.33","","","","","","NA"
"2018-06-03 00:00","2018","06","03","00:00","3.8","","-0.2","","75","","6","","10","","24.1","","98.25","","","","","","NA"
"2018-06-03 01:00","2018","06","03","01:00","6.1","","-0.8","","61","","7","","14","","24.1","","98.22","","","","","","Mainly Clear"
"2018-06-03 02:00","2018","06","03","02:00","8.4","","-1.2","","51","","10","","18","","24.1","","98.16","","","","","","NA"
